2TH 2:3.14 . πρῶτον πρῶτον ADV-S 4412 πρῶτον ! πρῶτος
2TH 2:3.15 . καὶ καὶ CONJ 2532 καί ! καί
2TH 2:3.16 . ἀποκαλυφθῇ ἀποκαλυφθῇ V-APS-3S 601 ἀποκαλύπτω ! ἀποκαλύπτω
2TH 2:3.17 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2TH 2:3.18 . ἄνθρωπος ἄνθρωπος N-NSM 444 ἄνθρωπος ! ἄνθρωπος
2TH 2:3.19 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2TH 2:3.20 . ἀνομίας, ἀνομίας, N-GSF 458 ἀνομία ! ἀνομία
2TH 2:3.21 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2TH 2:3.22 . υἱὸς υἱὸς N-NSM 5207 υἱός ! υἱός
2TH 2:3.23 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2TH 2:3.24 . ἀπωλείας, ἀπωλείας, N-GSF 684 ἀπώλεια ! ἀπώλεια
